Time,Clenched Hard 1,Clenched Hard 2,Clenched Hard 3,Clenched Med 1,Clenched Med 2,Clenched Med 3,Clenched Light 1,Clenched Light 2,Clenched Light 3,Relaxed Hard 1,Relaxed Hard 2,Relaxed Hard 3,Relaxed Med 1,Relaxed Med 2,Relaxed Med 3,Relaxed Light 1,Relaxed Light 2,Relaxed Light 3
26.190850607576884,-30.0291266484543,163.233964364478,96.9747002199891,-20.4917319642531,0.915234051214603,40.1226716674409,81.87129435811,232.750415925434,-20.5170091491456,-7.75156627969918,85.0822867937991,-28.1740917681312,327.228417495237,-28.994976834983,181.871165080202,-11.9618379018701,29.0856869936969,-34.2700809738784
26.22802001429597,-19.2297669503975,136.80186247134,80.3676028628049,-37.5873053451156,8.07366392180835,14.9597085434595,19.110628002179,224.768801205918,-29.759159174492,-4.48199745839256,107.802181549371,-57.0228974917909,369.274580490074,-8.7836267318848,232.65397254249,20.0448267715683,26.9834893360124,-32.4317015805114
26.26518942101506,-21.382925044293,110.90371959928,71.6693127311918,-55.7868460910806,19.1877951367053,-32.4364499544598,-45.8304997316327,201.71194855221,-39.17104895534,0.571886651074967,127.135300067927,-75.0458661047238,398.202671258843,-2.43154425206817,270.47484095655,63.921600614369,13.6479466146112,-18.1134550929984
26.30235882773414,-38.1128804425451,89.4969561814171,81.5770218312106,-73.1391090976373,33.3478360792201,-88.365385657259,-106.769002328867,164.672848140199,-47.8404422460484,6.77463384186497,142.627661621734,-78.9745907252344,412.954809086711,-9.78294848926516,288.898622603117,102.224806377347,-8.88931698474444,6.07995084581802
26.339528234453226,-63.1083474561308,71.4220426595935,114.453181211558,-88.7497486892965,50.7657666372353,-116.687407234562,-161.839786440733,117.337455111138,-53.3413097863159,13.4924169774661,152.078405859674,-70.8468576003635,411.371543649611,-28.1659473653128,281.626616624267,129.639190842181,-35.613978918261,37.3253917596469
26.376697641172314,-84.1419794518338,51.8734490246644,164.425650776694,-102.453433728109,72.6777466611991,-86.3125244349863,-211.279203696819,66.3951709869821,-54.7127760302907,19.5583519553302,152.300851691432,-58.5026516203211,389.665250614252,-51.3269871706252,246.630613603999,145.095779092739,-61.735247596673,73.018392701351
26.413867047891394,-89.388280702481,26.5968187523692,220.084147287185,-113.03529330989,97.5113020350959,-38.0656725526639,-245.064524243373,21.1161570745776,-52.585652362208,23.9265057774333,142.236313095663,-50.3758557229022,344.128873981265,-71.8262178275318,188.586082393519,147.474146184758,-84.3836804291272,111.53422511618
26.45103645461048,-78.4749292048834,-4.10765958163056,269.674069927189,-115.880513627327,118.95267510113,-0.661450199849389,-225.597885722228,-4.44440825289572,-47.2183982226123,25.7155214479667,125.034171438724,-50.1399936180367,274.806710586761,-85.6673746539415,116.769438821996,135.59639455785,-99.529044086289,151.324352308666
26.48820586132957,-62.9780606672041,-32.3163879418597,304.384351116758,-105.88285548053,129.356374487304,17.6320073973778,-187.729825437504,6.00953799078186,-40.4048708710245,23.5083175483684,106.253509519851,-54.3623024382551,188.513941740809,-92.0968225649879,41.4360474761295,111.025395369986,-100.639647034345,188.67482191701
26.52537526804865,-54.116606302048,-40.8636636403413,321.452759191195,-84.9891897372331,124.554450313832,14.670316374379,-155.141902264372,50.6882745483065,-37.8519726818412,15.983448462889,89.629713735821,-54.9742636287397,98.475327040987,-89.678063942979,-25.2115993241164,79.5925409574884,-87.6137043384991,216.993015684449
26.562544674767736,-55.4997411154231,-18.3599758604992,325.181632609569,-59.1625295904604,105.369974832538,-8.44727663012338,-130.83521673757,107.555166884161,-45.7200826556425,3.4357456924475,74.4741065865788,-46.9255364383514,20.8410100391131,-76.2521325345041,-61.8463766281157,48.7945674726517,-70.1461139989664,229.391580379701
26.599714081486823,-62.1945113945305,24.073537178528,323.614822565387,-31.6209739218214,75.7957539617483,-47.3259260824227,-113.597025509249,155.991533845769,-65.683138365889,-12.3256018554165,56.8094802924349,-32.9756784492317,-27.8704958906794,-51.3879808062824,-50.5081283677499,23.3568076654173,-56.1909240647479,222.629051226318
26.636883488205903,-64.4840383563301,71.844390290027,323.117423946866,-2.97427270488036,40.3592003283152,-94.6813057240504,-101.224750298384,187.01311366254,-94.2441271737849,-29.4745927662997,32.475655943381,-19.3633685833094,-34.8103792125233,-17.1766036824288,-12.6483809545742,3.33435235415582,-46.0658648817949,198.945277898697
26.67405289492499,-56.8740105190146,114.932173069226,325.740045240482,26.8686649883598,2.87861404163108,-136.618936280841,-92.2996723301304,202.143346949259,-125.900920936628,-46.4351462769119,-0.431773912101441,-10.9264942749177,-7.18473998634366,21.8899498728799,23.8926915615139,-14.3384580596752,-36.9135714336508,164.694946389218
26.711222301644078,-44.2650257632276,145.972700558537,330.531613958228,58.8114879059521,-32.4683872744828,-133.855187622075,-85.3106510475558,205.661378104158,-156.556621016271,-60.6344434036449,-40.6618819342353,-10.8236331453954,34.5860158571762,59.1263950729775,46.7520207539828,-33.3746795983513,-28.2717429071705,127.255992189368
26.748391708363158,-36.2952122647049,160.437112013058,335.508596124239,93.9773593084285,-57.679882303334,-82.6308232849164,-77.4728493853597,197.5970079547,-179.385221496251,-68.5536152911275,-83.2103533509833,-21.0571094374572,76.999012402447,87.0637573251396,51.6294680262431,-56.7035064936103,-22.1942695919591,92.3058878689048
26.785561115082245,-39.6055773068339,157.366467244305,338.120528657758,130.95785029192,-59.5613476502316,-22.0242408932912,-66.5728572841138,175.475663499974,-165.769228323746,-68.1394152877867,-116.605731076994,-41.3255024552472,114.330099148771,100.073255457769,38.4991639353849,-85.9826977494543,-19.9429751312001,62.9665887196225
26.822730521801333,-56.0496881691069,139.078185237455,335.362434301532,165.024529631282,-33.7760577248447,31.3709112368296,-53.5156758849405,142.149896171297,-128.960030288144,-60.0559319455507,-123.222465082848,-67.4672050675135,146.205175582236,96.1802781637671,10.7701852116406,-121.289498462863,-20.4458376306457,40.7304845275498
26.85989992852042,-83.251054613465,109.765464320574,324.441244129409,191.064332698985,6.73636366829477,70.7840536340976,-42.2091042375976,109.193162080736,-87.9739466601389,-46.3435597503539,-99.3006338737865,-90.8298847221389,175.163266615002,76.5671047316686,-26.6004606252656,-160.772425399623,-21.952910830127,26.7484077487754
26.8970693352395,-113.870724729155,74.0239126610521,303.107482355636,206.447717668101,48.0650682287611,93.6032884643593,-37.0447521544998,89.2778873332378,-48.0053009522732,-30.05551660038,-59.9782040595445,-99.0879526604438,202.862715541353,43.8823675558707,-69.4781147581806,-200.404960226988,-24.3159926285943,22.3746388371755
26.934238741958588,-135.73617323455,36.6585534057507,269.810248378172,210.612100189962,83.471923967413,98.7943981747747,-40.4396370926164,83.9097919847716,-12.6050583420025,-15.4498191142871,-16.8457416092463,-83.6631225239413,227.647250104247,2.01186967248755,-112.538575716012,-232.405023781863,-29.4593115784374,28.349741552821
26.971408148677675,-140.181299050854,3.46934244223675,224.892370150448,202.790881876433,112.431953983671,87.0863640863081,-52.0464894140182,83.486028257924,14.6108502334866,-6.45124072073782,24.1800666016256,-49.3290257035524,246.261957446864,-42.0594318282708,-137.438101332127,-236.001947431162,-39.9940270738139,42.7666735767788
27.008577555396755,-130.974111021553,-19.7213676888287,172.162922352369,182.223179258092,137.361045644196,62.3741718454583,-69.0196742483427,78.4580777030349,31.2454090367375,-5.34518549674542,57.8937275545179,-7.11308247327457,257.569549611663,-77.1917651037717,-118.734325493967,-219.533119581317,-56.8743824794173,60.2331950526939
